 ,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
0,10,10,10,10,10,10,30,30,30,70,30,70,70,30,30,30
1,10,10,10,10,10,10,10,50,50,50,90,50,50,50,10,10
2,10,10,10,10,10,30,30,30,70,70,30,70,30,30,30,10
3,10,10,10,10,10,10,50,50,50,50,50,50,50,10,10,10
4,10,10,10,10,30,30,30,70,30,70,70,30,30,30,30,30
5,10,10,10,10,10,50,50,50,90,50,50,50,50,50,10,50
6,10,30,10,30,30,30,70,70,70,70,70,70,30,30,70,30
7,10,10,50,10,50,50,50,50,50,90,50,50,50,50,50,90
8,30,30,30,70,30,70,70,70,70,30,70,70,30,70,70,30
9,10,50,50,50,90,50,50,50,50,90,50,50,50,50,50,50
