 ,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
0,52,64,52,40,28,28,16,28,16,28,28,40,28,40,28,40
1,76,64,52,40,28,28,40,28,40,28,40,40,52,40,52,40
2,76,64,52,40,40,28,40,52,40,52,40,52,52,64,52,64
3,52,64,52,40,40,52,40,52,64,52,64,52,52,64,76,64
4,52,40,52,52,40,52,64,52,64,76,64,64,52,64,52,64
5,28,40,40,52,64,52,64,76,64,64,76,64,52,40,52,40
6,28,28,40,52,64,76,64,52,64,64,52,64,52,40,28,40
7,16,28,40,52,64,52,64,52,52,52,52,52,52,40,28,16
8,16,28,40,52,40,52,40,52,64,52,64,52,40,40,28,16
9,16,28,40,28,40,28,40,52,64,76,64,52,40,28,28,16
